concept:bird:loons	bird : loons
concept:politicianus:president_george_bush	politician us : president george bush
concept:reptile:worm	reptile : worm
concept:county:savannah	county : savannah
concept:book:arkansas	book : arkansas
concept:country:cape_verde	country : cape verde
concept:city:saratoga	city : saratoga
concept:geopoliticallocation:el_paso	geopolitical location : el paso
concept:televisionstation:ktnw	television station : ktnw
concept:coach:gene_keady	coach : gene keady
concept:sportsteam:broncos	sports team : broncos
concept:person:mugabe	person : mugabe
concept:country:albania	country : albania
concept:agriculturalproduct:crabs	agricultural product : crabs
concept:mammal:oxen	mammal : oxen
concept:room:full	room : full
concept:room:mission	room : mission
concept:coach:wade_phillips	coach : wade phillips
concept:website:contact_the_office	website : contact the office
concept:personcanada:site_search	person canada : site search
concept:plant:seedpods	plant : seedpods
concept:bodypart:membrane	bodypart : membrane
concept:musicsong:loans	music song : loans
concept:company:prothom_alo	company : prothom alo
concept:disease:stress	disease : stress
concept:eventoutcome:type	event outcome : type
concept:sportsteam:virginia_commonwealth_university	sports team : virginia commonwealth university
concept:city:pineville	city : pineville
concept:bodypart:vital_organs	bodypart : vital organs
concept:programminglanguage:contact	programming language : contact
concept:vehicle:benefits	vehicle : benefits
concept:musicalbum:iowa	music album : iowa
concept:city:ramona	city : ramona
concept:city:jackson	city : jackson
concept:county:penn_state	county : penn state
concept:stadiumoreventvenue:minute_maid_park	stadium or event venue : minute maid park
concept:color:ny	color : ny
concept:city:ellenwood	city : ellenwood
concept:sportsteam:dallas_mavericks	sports team : dallas mavericks
concept:stadiumoreventvenue:citizen_bank_park	stadium or event venue : citizen bank park
concept:coach:fisher_deberry	coach : fisher deberry
concept:emotion:emotions	emotion : emotions
concept:sportsteam:magic	sports team : magic
concept:politicianus:palin	politician us : palin
concept:food:fresh_spinach	food : fresh spinach
concept:bank:google_checkout	bank : google checkout
concept:programminglanguage:n1_2	programming language : n1 2
concept:disease:condition	disease : condition
concept:blog:sports_illustrated	blog : sports illustrated
concept:room:set	room : set
concept:attraction:background	attraction : background
concept:crustacean:daphnia	crustacean : daphnia
concept:professionalorganization:heart_association	professional organization : heart association
concept:bank:usps	bank : usps
concept:date:nov__19	date : nov  19
concept:profession:assistants	profession : assistants
concept:website:wqow_tv	website : wqow tv
concept:museum:present	museum : present
concept:person:ty_willingham	person : ty willingham
concept:currency:pounds	currency : pounds
concept:blog:wired_magazine	blog : wired magazine
concept:weatherphenomenon:account	weather phenomenon : account
concept:politician:david_brooks	politician : david brooks
concept:charactertrait:assistance	character trait : assistance
concept:mammal:heifers	mammal : heifers
concept:sportsteam:chowan_braves	sports team : chowan braves
concept:insect:pests	insect : pests
concept:river:lee	river : lee
concept:website:publishers_weekly	website : publishers weekly
concept:sportsteam:southern_mississippi_golden_eagles	sports team : southern mississippi golden eagles
concept:dateliteral:n1846	date literal : n1846
concept:country:slovak_republic	country : slovak republic
concept:stadiumoreventvenue:angel_stadium_of_anaheim	stadium or event venue : angel stadium of anaheim
concept:product:minister	product : minister
concept:geopoliticallocation:avon	geopolitical location : avon
concept:condiment:green_onions	condiment : green onions
concept:visualizablething:cans	visualizable thing : cans
concept:personus:jobs	personus : jobs
concept:city:evergreen_park	city : evergreen park
concept:artery:organ_system	artery : organ system
concept:lake:small_water	lake : small water
concept:visualizablescene:fort_collins	visualizable scene : fort collins
concept:sportsteamposition:hitters	sports team position : hitters
concept:male:user	male : user
concept:coach:vince_dooley	coach : vince dooley
concept:disease:mental_retardation	disease : mental retardation
concept:currency:rupee	currency : rupee
concept:newspaper:record	newspaper : record
concept:website:ksee_tv	website : ksee tv
concept:city:sydney	city : sydney
concept:country:philippines	country : philippines
concept:university:depauw	university : depauw
concept:chemical:pesticide_residues	chemical : pesticide residues
concept:food:crop	food : crop
concept:coach:tuberville	coach : tuberville
concept:city:buckeye	city : buckeye
concept:county:clark	county : clark
concept:planet:universe	planet : universe
concept:plant:evergreen	plant : evergreen
concept:bodypart:gland	bodypart : gland
concept:website:syracuse	website : syracuse
concept:country:united_arab_emirates	country : united arab emirates
concept:reptile:leatherback_turtle	reptile : leatherback turtle
concept:chemical:monochloramine	chemical : monochloramine
concept:website:submit	website : submit
concept:person:lynch	person : lynch
concept:invertebrate:gulls	invertebrate : gulls
concept:bone:tendons	bone : tendons
concept:city:pine_bluff	city : pine bluff
concept:mammal:mammals	mammal : mammals
concept:profession:employees	profession : employees
concept:visualizablething:home_air	visualizable thing : home air
concept:plant:marula	plant : marula
concept:person:les_moonves	person : les moonves
concept:stateorprovince:idaho	state or province : idaho
concept:televisionstation:wunm_tv	television station : wunm tv
concept:athlete:frank_howard	athlete : frank howard
concept:sportsteam:seattle_mariners	sports team : seattle mariners
concept:buildingfeature:browser_windows	building feature : browser windows
concept:sportsteam:new_england_revolution	sports team : new england revolution
concept:bodypart:musculo_skeletal_system	bodypart : musculo skeletal system
concept:river:st___lawrence_river	river : st   lawrence river
concept:planet:effect	planet : effect
concept:reptile:iguanas	reptile : iguanas
concept:website:whdh	website : whdh
concept:plant:crops	plant : crops
concept:sportsequipment:tours	sports equipment : tours
concept:mammal:small_pets	mammal : small pets
concept:sportsteam:houston_astros	sports team : houston astros
concept:website:tacoda	website : tacoda
concept:room:tops	room : tops
concept:beverage:efficient_water	beverage : efficient water
concept:sportsequipment:ball	sports equipment : ball
concept:disease:alzheimer_disease	disease : alzheimer disease
concept:website:jam	website : jam
concept:city:carbondale	city : carbondale
concept:university:portland	university : portland
concept:sportsteam:college	sports team : college
concept:city:geneva	city : geneva
concept:river:wabash	river : wabash
concept:chemical:greenhouse_gases	chemical : greenhouse gases
concept:visualizablething:berwyn	visualizable thing : berwyn
concept:company:dialogic	company : dialogic
concept:geopoliticalorganization:ray_nagin	geopolitical organization : ray nagin
concept:museum:exhibits	museum : exhibits
concept:food:eggs	food : eggs
concept:city:murfreesboro	city : murfreesboro
concept:politicsblog:amazon_com	politics blog : amazon com
concept:landscapefeatures:hot_water	landscape features : hot water
concept:visualizablething:sugar_land	visualizable thing : sugar land
concept:stateorprovince:kashmir	state or province : kashmir
concept:arthropod:external_parasites	arthropod : external parasites
concept:stadiumoreventvenue:commodore_ballroom	stadium or event venue : commodore ballroom
concept:landscapefeatures:dry_areas	landscape features : dry areas
concept:website:financial	website : financial
concept:physiologicalcondition:brain_damage	physiological condition : brain damage
concept:city:hong_kong_island	city : hong kong island
concept:sportsleague:the_national_football_league	sports league : the national football league
concept:sportsteam:olde_towne_team	sports team : olde towne team
concept:reptile:box_turtle	reptile : box turtle
concept:comedian:wild_animals	comedian : wild animals
concept:insect:swallowtail_butterflies	insect : swallowtail butterflies
concept:artery:mucous_membrane	artery : mucous membrane
concept:invertebrate:bees	invertebrate : bees
concept:company:the_guardian001	company : the guardian001
concept:landscapefeatures:valleys	landscape features : valleys
concept:beverage:whole_water	beverage : whole water
concept:city:dedham	city : dedham
concept:chemical:properties	chemical : properties
concept:bakedgood:pasta	baked good : pasta
concept:website:kcbd_tv	website : kcbd tv
concept:river:wedding	river : wedding
concept:chemical:waste_gases	chemical : waste gases
concept:sportsgame:n1947_world_series	sportsgame : n1947 world series
concept:radiostation:new_jersey	radiostation : new jersey
concept:bodypart:spinal_fluid	bodypart : spinal fluid
concept:buildingmaterial:metal	building material : metal
concept:sportsteam:cal_state_northridge_matadors	sports team : cal state northridge matadors
concept:website:daily_mail	website : daily mail
concept:chemical:soda_lime	chemical : soda lime
concept:river:saint_john	river : saint john
concept:stadiumoreventvenue:autzen_stadium	stadium or event venue : autzen stadium
concept:plant:bald_cypress	plant : bald cypress
concept:county:san_francisco_state	county : san francisco state
concept:beverage:well_water	beverage : well water
concept:website:jotspot	website : jotspot
concept:city:new_westminster	city : new westminster
concept:bird:waterfowl	bird : waterfowl
concept:plant:sage	plant : sage
concept:agriculturalproduct:varieties	agricultural product : varieties
concept:website:new_york_times	website : new york times
concept:landscapefeatures:parks	landscape features : parks
concept:plant:apricot	plant : apricot
concept:televisionstation:kedt	television station : kedt
concept:televisionstation:kveo_tv	television station : kveo tv
concept:coach:jim_schwartz	coach : jim schwartz
concept:geometricshape:rounds	geometric shape : rounds
concept:governmentorganization:metacrawler	government organization : metacrawler
concept:website:kdvr	website : kdvr
